Exit Rates by Year,Year,Exit Rate,Exit Rate (Fit),SE to PE,SE to PE (Fit),SE to NE,SE to NE (Fit)
Exit Rates by Year,2001,22.71,21.31,12.98,12.07,9.73,9.24
Exit Rates by Year,2002,20.98,21.92,11.31,12.27,9.67,9.65
Exit Rates by Year,2003,21.8,22.45,11.73,12.44,10.07,10.01
Exit Rates by Year,2004,22.07,22.89,12.16,12.57,9.91,10.33
Exit Rates by Year,2005,24.05,23.26,13.97,12.66,10.09,10.6
Exit Rates by Year,2006,23.14,23.54,12.75,12.72,10.39,10.82
Exit Rates by Year,2007,23.26,23.73,12.79,12.74,10.47,11
Exit Rates by Year,2008,24.53,23.85,13.03,12.72,11.5,11.13
Exit Rates by Year,2009,24.19,23.88,12.2,12.68,12,11.21
Exit Rates by Year,2010,24.44,23.84,12.77,12.59,11.67,11.24
Exit Rates by Year,2011,24.02,23.7,12.4,12.47,11.61,11.23
Exit Rates by Year,2012,23.15,23.49,12.1,12.32,11.04,11.18
Exit Rates by Year,2013,22.78,23.19,12.07,12.12,10.71,11.07
Exit Rates by Year,2014,22.58,22.82,11.71,11.9,10.87,10.92
Exit Rates by Year,2015,22.52,22.36,11.92,11.63,10.6,10.72
Exit Rates for Employers by Year,Year,Exit Rate,Exit Rate (Fit),ESE to PE,ESE to PE (Fit),ESE to NE,ESE to NE (Fit)
Exit Rates for Employers by Year,2001,27.04,25.34,13.63,12.34,5.37,4.99
Exit Rates for Employers by Year,2002,23.76,25.45,10.65,12.23,4.92,5.13
Exit Rates for Employers by Year,2003,24.53,25.49,11.06,12.11,5.39,5.24
Exit Rates for Employers by Year,2004,24.45,25.47,11.15,11.96,5.03,5.32
Exit Rates for Employers by Year,2005,27.83,25.39,14.88,11.79,5.16,5.37
Exit Rates for Employers by Year,2006,24.72,25.24,11.58,11.6,5.11,5.39
Exit Rates for Employers by Year,2007,24.22,25.02,10.92,11.4,5.1,5.38
Exit Rates for Employers by Year,2008,24.91,24.74,10.96,11.17,5.49,5.35
Exit Rates for Employers by Year,2009,25.59,24.4,10.78,10.92,5.81,5.28
Exit Rates for Employers by Year,2010,25.65,23.98,11.47,10.66,5.74,5.19
Exit Rates for Employers by Year,2011,22.53,23.51,9.7,10.37,5.03,5.06
Exit Rates for Employers by Year,2012,21.77,22.96,9.54,10.06,4.67,4.91
Exit Rates for Employers by Year,2013,21.95,22.35,9.83,9.74,4.58,4.73
Exit Rates for Employers by Year,2014,20.95,21.68,9.08,9.39,4.41,4.52
Exit Rates for Employers by Year,2015,22.07,20.94,9.58,9.03,4.33,4.28
Exit Rates by Age,Age,Exit Rate,Exit Rate (Fit),SE to PE,SE to PE (Fit),SE to NE,SE to NE (Fit)
Exit Rates by Age,26,38.95,38.45,23.31,23.18,15.64,15.27
Exit Rates by Age,27,37.35,36.78,22.3,22.1,15.05,14.69
Exit Rates by Age,28,35.59,35.21,21.24,21.08,14.36,14.13
Exit Rates by Age,29,33.66,33.72,20,20.13,13.66,13.59
Exit Rates by Age,30,31.92,32.31,19.02,19.24,12.9,13.07
Exit Rates by Age,31,30.71,30.99,18.32,18.41,12.39,12.57
Exit Rates by Age,32,29.45,29.74,17.58,17.64,11.87,12.1
Exit Rates by Age,33,28.13,28.57,16.86,16.92,11.28,11.66
Exit Rates by Age,34,26.99,27.48,16.14,16.24,10.86,11.23
Exit Rates by Age,35,25.92,26.46,15.45,15.62,10.47,10.84
Exit Rates by Age,36,25.04,25.51,14.92,15.04,10.12,10.47
Exit Rates by Age,37,24.29,24.63,14.46,14.5,9.82,10.13
Exit Rates by Age,38,23.57,23.82,13.97,14.01,9.59,9.82
Exit Rates by Age,39,22.98,23.08,13.58,13.55,9.4,9.53
Exit Rates by Age,40,22.48,22.39,13.2,13.12,9.28,9.27
Exit Rates by Age,41,21.99,21.77,12.86,12.73,9.13,9.05
Exit Rates by Age,42,21.47,21.21,12.47,12.36,9,8.85
Exit Rates by Age,43,21.04,20.71,12.11,12.02,8.93,8.69
Exit Rates by Age,44,20.66,20.26,11.81,11.7,8.85,8.56
Exit Rates by Age,45,20.32,19.87,11.5,11.41,8.82,8.46
Exit Rates by Age,46,19.99,19.53,11.23,11.13,8.76,8.4
Exit Rates by Age,47,19.73,19.24,10.95,10.87,8.78,8.37
Exit Rates by Age,48,19.45,19,10.69,10.62,8.76,8.37
Exit Rates by Age,49,19.22,18.8,10.43,10.39,8.79,8.41
Exit Rates by Age,50,19.07,18.64,10.2,10.16,8.87,8.49
Exit Rates by Age,51,18.87,18.53,9.96,9.93,8.91,8.6
Exit Rates by Age,52,18.67,18.46,9.67,9.71,8.99,8.76
Exit Rates by Age,53,18.49,18.43,9.45,9.48,9.04,8.95
Exit Rates by Age,54,18.32,18.43,9.14,9.25,9.18,9.18
Exit Rates by Age,55,18.25,18.47,8.96,9.02,9.29,9.45
Exit Rates by Age,56,18.11,18.54,8.63,8.78,9.48,9.76
Exit Rates by Age,57,18.12,18.63,8.44,8.53,9.68,10.11
Exit Rates by Age,58,18.17,18.76,8.21,8.26,9.96,10.5
Exit Rates by Age,59,18.08,18.92,7.89,7.97,10.19,10.94
Exit Rates by Age,60,18.24,19.09,7.64,7.67,10.6,11.42
Exit Rates by Age,61,18.51,19.29,7.32,7.35,11.18,11.95
Exit Rates by Age,62,19.48,19.51,7.02,7,12.45,12.52
Exit Rates by Age,63,20.25,19.75,6.58,6.62,13.67,13.13
Exit Rates by Age,64,20.34,20.01,6.25,6.21,14.09,13.79
Exit Rates by Age,65,21.45,20.28,5.97,5.77,15.48,14.5
Exit Rates for Employers by Age,Age,Exit Rate,Exit Rate (Fit),ESE to PE,ESE to PE (Fit),ESE to NE,ESE to NE (Fit)
Exit Rates for Employers by Age,26,42.34,42.1,22.81,22.68,8.15,7.99
Exit Rates for Employers by Age,27,40.82,40.11,21.82,21.34,7.84,7.62
Exit Rates for Employers by Age,28,38.8,38.23,20.22,20.09,7.41,7.26
Exit Rates for Employers by Age,29,36.58,36.45,18.79,18.92,7,6.93
Exit Rates for Employers by Age,30,34.53,34.77,17.68,17.84,6.54,6.6
Exit Rates for Employers by Age,31,32.85,33.2,16.75,16.84,6.08,6.3
Exit Rates for Employers by Age,32,31.39,31.72,15.82,15.91,5.9,6
Exit Rates for Employers by Age,33,29.84,30.34,14.86,15.05,5.52,5.73
Exit Rates for Employers by Age,34,28.48,29.05,13.99,14.27,5.26,5.47
Exit Rates for Employers by Age,35,27.23,27.86,13.2,13.55,5.04,5.23
Exit Rates for Employers by Age,36,26.21,26.75,12.65,12.89,4.85,5.01
Exit Rates for Employers by Age,37,25.26,25.72,12.13,12.29,4.64,4.8
Exit Rates for Employers by Age,38,24.42,24.78,11.6,11.75,4.49,4.61
Exit Rates for Employers by Age,39,23.72,23.92,11.19,11.26,4.38,4.44
Exit Rates for Employers by Age,40,23.18,23.14,10.92,10.82,4.28,4.29
Exit Rates for Employers by Age,41,22.56,22.43,10.53,10.43,4.19,4.15
Exit Rates for Employers by Age,42,22.06,21.79,10.29,10.07,4.11,4.03
Exit Rates for Employers by Age,43,21.62,21.23,9.96,9.76,4.08,3.94
Exit Rates for Employers by Age,44,21.21,20.73,9.75,9.49,4.03,3.86
Exit Rates for Employers by Age,45,20.8,20.29,9.48,9.24,4,3.8
Exit Rates for Employers by Age,46,20.47,19.92,9.31,9.03,3.93,3.76
Exit Rates for Employers by Age,47,20.18,19.61,9.08,8.84,3.94,3.74
Exit Rates for Employers by Age,48,19.92,19.35,8.91,8.68,3.94,3.73
Exit Rates for Employers by Age,49,19.69,19.15,8.73,8.53,3.95,3.75
Exit Rates for Employers by Age,50,19.51,18.99,8.55,8.4,3.99,3.79
Exit Rates for Employers by Age,51,19.3,18.89,8.37,8.29,4.03,3.85
Exit Rates for Employers by Age,52,19.09,18.83,8.16,8.18,4.05,3.94
Exit Rates for Employers by Age,53,18.93,18.82,8.01,8.08,4.08,4.04
Exit Rates for Employers by Age,54,18.73,18.85,7.84,7.98,4.13,4.16
Exit Rates for Employers by Age,55,18.68,18.91,7.72,7.88,4.25,4.31
Exit Rates for Employers by Age,56,18.56,19.01,7.54,7.78,4.32,4.47
Exit Rates for Employers by Age,57,18.53,19.15,7.39,7.67,4.43,4.66
Exit Rates for Employers by Age,58,18.63,19.31,7.32,7.55,4.61,4.87
Exit Rates for Employers by Age,59,18.52,19.51,7.11,7.42,4.71,5.11
Exit Rates for Employers by Age,60,18.86,19.73,7.07,7.27,4.93,5.36
Exit Rates for Employers by Age,61,19.25,19.97,6.97,7.1,5.28,5.64
Exit Rates for Employers by Age,62,19.99,20.23,7,6.91,5.83,5.94
Exit Rates for Employers by Age,63,20.59,20.51,6.73,6.68,6.54,6.27
Exit Rates for Employers by Age,64,21.17,20.8,6.56,6.43,6.84,6.62
Exit Rates for Employers by Age,65,22.8,21.11,6.59,6.15,7.48,6.99
Entry Rates By Year,Year,Entry Rate,Entry Rate (Fit),PE to SE,PE to SE (Fit),NE to SE,NE to SE (Fit)
Entry Rates By Year,2001,1.84,1.87,1.4,1.47,3.74,3.58
Entry Rates By Year,2002,1.96,1.96,1.52,1.5,3.9,3.95
Entry Rates By Year,2003,1.97,2.04,1.46,1.53,4.12,4.26
Entry Rates By Year,2004,2.13,2.1,1.56,1.55,4.44,4.52
Entry Rates By Year,2005,2.21,2.15,1.63,1.56,4.65,4.73
Entry Rates By Year,2006,2.39,2.19,1.81,1.57,4.89,4.88
Entry Rates By Year,2007,2.22,2.22,1.58,1.57,5.06,4.97
Entry Rates By Year,2008,2.12,2.24,1.49,1.57,5,5.02
Entry Rates By Year,2009,2.22,2.24,1.51,1.56,5.36,5
Entry Rates By Year,2010,2.22,2.23,1.47,1.55,5.02,4.94
Entry Rates By Year,2011,2.23,2.21,1.52,1.53,4.72,4.82
Entry Rates By Year,2012,2.1,2.18,1.42,1.51,4.4,4.64
Entry Rates By Year,2013,2.09,2.14,1.44,1.48,4.27,4.41
Entry Rates By Year,2014,2.15,2.08,1.53,1.45,4.19,4.13
Entry Rates By Year,2015,2.04,2.01,1.47,1.41,3.89,3.79
Entry Rates for Employers By Year,Year,Entry Rate,Entry Rate (Fit),PE to ESE,PE to ESE (Fit),NE to ESE,NE to ESE (Fit)
Entry Rates for Employers By Year,2001,0.73,0.74,0.5,0.51,0.77,0.74
Entry Rates for Employers By Year,2002,0.73,0.73,0.5,0.49,0.74,0.74
Entry Rates for Employers By Year,2003,0.65,0.71,0.41,0.48,0.66,0.74
Entry Rates for Employers By Year,2004,0.7,0.7,0.44,0.46,0.72,0.73
Entry Rates for Employers By Year,2005,0.73,0.68,0.47,0.44,0.71,0.72
Entry Rates for Employers By Year,2006,0.81,0.67,0.58,0.43,0.76,0.71
Entry Rates for Employers By Year,2007,0.67,0.65,0.42,0.41,0.72,0.68
Entry Rates for Employers By Year,2008,0.61,0.63,0.37,0.39,0.67,0.66
Entry Rates for Employers By Year,2009,0.53,0.61,0.31,0.37,0.62,0.63
Entry Rates for Employers By Year,2010,0.52,0.59,0.3,0.36,0.55,0.59
Entry Rates for Employers By Year,2011,0.59,0.57,0.36,0.34,0.59,0.55
Entry Rates for Employers By Year,2012,0.51,0.54,0.29,0.32,0.47,0.5
Entry Rates for Employers By Year,2013,0.49,0.52,0.28,0.3,0.41,0.45
Entry Rates for Employers By Year,2014,0.55,0.49,0.33,0.28,0.42,0.39
Entry Rates for Employers By Year,2015,0.47,0.46,0.27,0.26,0.35,0.33
Entry Rates By Age,Age,Entry Rate,Entry Rate (Fit),PE to SE,PE to SE (Fit),NE to SE,NE to SE (Fit)
Entry Rates By Age,26,1.49,1.51,1.11,1.12,2.57,2.62
Entry Rates By Age,27,1.59,1.63,1.2,1.24,2.73,2.76
Entry Rates By Age,28,1.71,1.74,1.31,1.34,2.89,2.9
Entry Rates By Age,29,1.83,1.84,1.43,1.43,3.05,3.05
Entry Rates By Age,30,1.93,1.93,1.51,1.51,3.24,3.2
Entry Rates By Age,31,2.01,2.01,1.58,1.57,3.42,3.36
Entry Rates By Age,32,2.09,2.08,1.64,1.63,3.57,3.52
Entry Rates By Age,33,2.17,2.13,1.7,1.67,3.72,3.69
Entry Rates By Age,34,2.23,2.18,1.74,1.71,3.86,3.85
Entry Rates By Age,35,2.28,2.23,1.77,1.73,4.05,4.02
Entry Rates By Age,36,2.3,2.26,1.78,1.75,4.2,4.19
Entry Rates By Age,37,2.32,2.29,1.78,1.76,4.35,4.35
Entry Rates By Age,38,2.33,2.31,1.78,1.76,4.51,4.51
Entry Rates By Age,39,2.34,2.32,1.76,1.76,4.68,4.66
Entry Rates By Age,40,2.34,2.33,1.75,1.75,4.81,4.81
Entry Rates By Age,41,2.32,2.33,1.72,1.74,4.9,4.95
Entry Rates By Age,42,2.31,2.33,1.7,1.72,5.02,5.08
Entry Rates By Age,43,2.29,2.32,1.66,1.7,5.1,5.2
Entry Rates By Age,44,2.28,2.31,1.64,1.67,5.23,5.31
Entry Rates By Age,45,2.25,2.3,1.6,1.64,5.32,5.41
Entry Rates By Age,46,2.24,2.29,1.57,1.61,5.43,5.49
Entry Rates By Age,47,2.22,2.27,1.55,1.58,5.52,5.56
Entry Rates By Age,48,2.2,2.25,1.52,1.55,5.59,5.61
Entry Rates By Age,49,2.19,2.23,1.5,1.52,5.69,5.65
Entry Rates By Age,50,2.18,2.2,1.48,1.48,5.74,5.67
Entry Rates By Age,51,2.18,2.18,1.47,1.45,5.8,5.67
Entry Rates By Age,52,2.15,2.16,1.43,1.43,5.75,5.64
Entry Rates By Age,53,2.13,2.14,1.4,1.4,5.69,5.6
Entry Rates By Age,54,2.11,2.12,1.38,1.38,5.6,5.53
Entry Rates By Age,55,2.1,2.1,1.37,1.36,5.5,5.44
Entry Rates By Age,56,2.12,2.08,1.39,1.35,5.36,5.32
Entry Rates By Age,57,2.11,2.07,1.37,1.34,5.14,5.18
Entry Rates By Age,58,2.1,2.06,1.36,1.34,4.93,5.01
